S. No.,Month ,Crash Date,Crash Day,Article Date ,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type
1237,October,27-Oct-22,Thursday,28-Oct-22,Pantora,Nil,Chhattisgarh,"22.269218972571004, 82.64405765098273",Two Wheeler,Truck,1,0,55,Male,OR,Hit From Side
1238,October,27-Oct-22,Thursday,29-Oct-22,Morgaon,Nil,Maharashtra,"18.14618749717706, 74.56718253781582",Pedestrian,SUV,3,0,"62,22,45",Both,OR,Hit and Run
1239,October,28-Oct-22,Friday,29-Oct-22,Kesamudram,Nil,Telangana,"17.688016079430852, 79.89392851062833",Car,Ditch,4,3,"39,45,35,15",Male,OR,Run Off Road
1240,October,28-Oct-22,Friday,29-Oct-22,Dewas Bypass,Nil,Madhya Pradesh,"22.926332572622865, 76.0115211646357",Car,SUV,1,2,42,Male,NH,Hit and Run
1241,October,28-Oct-22,Friday,30-Oct-22,Indiranagar,Pune,Maharashtra,"18.464665044127813, 73.86427239354803",Two Wheeler,Unidentified,1,0,57,Male,OR,Hit and Run
1242,October,28-Oct-22,Friday,30-Oct-22,Sahyadri Nursery,Nashik,Maharashtra,"20.03323642706155, 73.85964826800533",Pedestrian,Two Wheeler,1,0,40,Male,NH,Hit and Run
1243,October,27-Oct-22,Thursday,30-Oct-22,Mandla,Nil,Madhya Pradesh,"22.59669685394062, 80.36986110206573",Two Wheeler,Tractor,1,0,NA,Male,OR,Others
1244,October,29-Oct-22,Saturday,30-Oct-22,Bikram-Bihta Rd,Nil,Bihar,"25.50514359461877, 84.86510399568847",Car,Truck,3,0,"65,60,70",Both,SH,Others
1245,October,29-Oct-22,Saturday,30-Oct-22,Bihta,Nil,Bihar,"25.55447358818071, 84.86617772481523",Two Wheeler,Truck,1,1,26,Male,SH,Head On Collision 
1246,October,29-Oct-22,Saturday,30-Oct-22,Simri,Nil,Bihar,"25.640953934035768, 84.11521632039651",Bus,Truck,2,0,NA,NA,OR,With Parked Vehicle
1247,October,29-Oct-22,Saturday,30-Oct-22,Jhanjeri,Nil,Punjab,"30.68284480941984, 76.61719372787276",Pedestrian,Car,3,0,NA,Both,SH,Hit and Run
1248,October,29-Oct-22,Saturday,30-Oct-22,Sector 28,Chandigarh,Punjab,"30.716841466984384, 76.80458595561909",Two Wheeler,Car,1,1,16,Male,OR,Others
1249,October,31-Oct-22,Monday,31-Oct-22,Junoni,Nil,Maharashtra,"17.24338242804452, 75.00424475373016",Pedestrian,Car,4,4,NA,NA,NH,Hit and Run
1250,October,29-Oct-22,Saturday,31-Oct-22,PTS Rajnandgaon,Nil,Chhattisgarh,"21.09523014387065, 81.00741500393691",Car,Tree,2,1,65,Male,SH,Fixed Object Collision
1251,October,30-Oct-22,Sunday,31-Oct-22,DK Road,Hyderabad,Telangana,"17.438425267294747, 78.45059784004324",Pedestrian,Bus,1,0,62,Male,OR,Hit and Run
1252,November,31-Oct-22,Monday,1-Nov-22,Sargaon,Nil,Chhattisgarh,"21.900406301426102, 81.9815146263907",Car,Truck,1,2,42,Male,SH,With Parked Vehicle
1253,November,29-Oct-22,Saturday,1-Nov-22,Airia Mall,Nil,Haryana,"28.38378552681842, 77.05328822442098",Two Wheeler,Car,1,1,19,Male,NH,Head On Collision 
1254,November,30-Oct-22,Sunday,1-Nov-22,Adilabad,Nil,Telangana,"19.66430394939275, 78.52895617239561",Car,Truck,4,0,"56,26,17,51",Both,OR,Others
1255,November,30-Oct-22,Sunday,1-Nov-22,Laggere Bridge,Bengaluru,Karnataka,"13.010315462356882, 77.52756974278834",Two Wheeler,Pole,2,0,"21,22",Male,OR,Fixed Object Collision
1256,November,30-Oct-22,Sunday,1-Nov-22,Medchal,Nil,Telangana,"17.635476518528307, 78.4851888279516",Car,Lorry,3,9,NA,NA,NH,Hit From Back
1257,November,2-Nov-22,Wednesday,2-Nov-22,Ghuraiya Hotel,Nil,Madhya Pradesh,"26.420849039258535, 78.05370856131539",SUV,Truck,5,3,NA,NA,NH,Others
1258,November,1-Nov-22,Tuesday,2-Nov-22,Gamjal Toll Plaza,Nil,Telangana,"19.027063178328984, 78.36298370549322",SUV,Tree,1,3,NA,Female,NH,Fixed Object Collision
1259,November,31-Oct-22,Monday,2-Nov-22,Sodhaliya,Nil,Gujarat,"22.05943267063244, 73.82253877574095",Car,Ditch,3,2,"27,22,22",Male,OR,Vehicle Overturn
1260,November,2-Nov-22,Wednesday,2-Nov-22,Kurana,Nil,Uttar Pradesh,"28.028460686612323, 77.62333495442708",Two Wheeler,Truck,5,8,"62,25,38,22,45",Male,NH,Others
1261,November,1-Nov-22,Tuesday,3-Nov-22,Basti Jodhewal,Ludhiana,Punjab,"30.932516169629725, 75.8677287599747",SUV,Truck,2,1,"30,35",Male,NH,Hit From Back
1262,November,1-Nov-22,Tuesday,3-Nov-22,Tappal,Nil,Uttar Pradesh,"28.04188431027413, 77.58330316350516",Two Wheeler,Truck,5,6,NA,Both,NH,Hit and Run
1263,November,1-Nov-22,Tuesday,3-Nov-22,Kompally Bridge,Hyderabad,Telangana,"17.56429663919786, 78.49334533381393",Two Wheeler,Divider,2,0,"19,20",Male,NH,Fixed Object Collision
1264,November,2-Nov-22,Wednesday,3-Nov-22,Tadbanpally,Nil,Telangana,"17.705116700596818, 78.0941287496498",Auto Rickshaw,SUV,2,0,"28,20",Male,NH,Head On Collision 
1265,November,2-Nov-22,Wednesday,3-Nov-22,Park Circus ,Kolkata,West Bengal,"22.53915746745593, 88.37358247336473",Pedestrian,Truck,1,0,49,Male,OR,Head On Collision 
1266,November,4-Nov-22,Friday,4-Nov-22,Gudgaon,Nil,Madhya Pradesh,"21.60189976066658, 77.71458618022855",Car,Bus,11,0,NA,Both,OR,Head On Collision 
1267,November,3-Nov-22,Thursday,4-Nov-22,Eco Park,Nil,West Bengal,"22.603810294401853, 88.46977913340776",Car,Van,1,1,22,Male,OR,Hit From Back
1268,November,2-Nov-22,Wednesday,4-Nov-22,Hanuman Junction,Nil,Karnataka,"13.009116547883451, 78.1864943926819",Two Wheeler,Bus,1,1,52,Female,OR,Hit From Back
1269,November,2-Nov-22,Wednesday,4-Nov-22,Kamakshipalya,Bengaluru,Karnataka,"12.985166001053273, 77.52430014271957",Two Wheeler,Bus,1,0,24,Male,OR,Hit From Back
1270,November,4-Nov-22,Friday,5-Nov-22,Dasna,Ghaziabad,Uttar Pradesh,"28.684720458145044, 77.52090636565661",Ambulance,Truck,2,0,"36,23",Male,NH,Head On Collision 
1271,November,4-Nov-22,Friday,5-Nov-22,Bhagirathpura,Indore,Madhya Pradesh,"22.736123280876676, 75.86362615356401",Two Wheeler,Divider,2,0,NA,Male,OR,Fixed Object Collision
1272,November,3-Nov-22,Thursday,5-Nov-22,Kharghar Skywalk,Mumbai,Maharashtra,"19.0265073987421, 73.05742370796258",Two Wheeler,Truck,1,1,45,Female,NH,Hit From Back
1273,November,4-Nov-22,Friday,6-Nov-22,Mathura Cantonment,Nil,Uttar Pradesh,"27.484866638723137, 77.68776852076145",Car,Car,4,4,"65,40,48,26",Male,NH,Head On Collision 
1274,November,6-Nov-22,Sunday,6-Nov-22,Gurha Kumawatan,Nil,Rajasthan,"26.938019550557154, 75.51456395426437",Two Wheeler,Two Wheeler,3,3,"17,22,20",Male,OR,Head On Collision 
1275,November,5-Nov-22,Saturday,6-Nov-22,Kalaghat,Nil,Madhya Pradesh,"22.16021606354261, 75.44686078799634",Two Wheeler,Bus,4,0,"40,35,12,7",Both,NH,Hit From Back
1276,November,4-Nov-22,Friday,6-Nov-22,Belgachia Bridge,Kolkata,West Bengal,"22.603746729307865, 88.37949618025485",Pedestrian,Two Wheeler,1,0,67,Female,OR,Hit and Run
1277,November,4-Nov-22,Friday,6-Nov-22,Laha Bari,Kolkata,West Bengal,"22.59149529340383, 88.37117242852943",Pedestrian,Two Wheeler,1,0,30,Male,OR,Hit and Run
1278,November,5-Nov-22,Saturday,7-Nov-22,Vanabadrakalimman,Coimbatore,Tamil Nadu,"10.993631217180676, 76.98248328605914",Pedestrian,Unidentified,1,1,4,Male,OR,Hit and Run
1279,November,5-Nov-22,Saturday,7-Nov-22,Ganpati Ghat,Nil,Madhya Pradesh,"22.373075049293465, 75.52479322342779",Two Wheeler,Bus,4,0,"35,32,5,10",Both,NH,Head On Collision 
1280,November,6-Nov-22,Sunday,7-Nov-22,Dungra Chhota,Nil,Rajasthan,"23.16809806028498, 74.31279268503023",Two Wheeler,Two Wheeler,3,3,"20,17,22",Both,OR,Head On Collision 
1281,November,6-Nov-22,Sunday,7-Nov-22,Patriya,Nil,Rajasthan,"23.15196396922503, 74.30044703815592",Two Wheeler,Truck,1,1,22,Male,OR,With Parked Vehicle
1282,November,6-Nov-22,Sunday,7-Nov-22,Kotmi,Nil,Chhattisgarh,"22.8151476870785, 82.09155502478767",Two Wheeler,Truck,3,0,"22,24,26",Male,SH,With Parked Vehicle
1283,November,6-Nov-22,Sunday,7-Nov-22,Godari,Nil,Chhattisgarh,"21.166374362141806, 82.02690125718406",Car,Tree,2,0,"41,44",Male,OR,Fixed Object Collision
1284,November,7-Nov-22,Monday,7-Nov-22,Anupgarh,Nil,Rajasthan,"29.197095840789228, 73.22412562749123",Car,Divider,4,1,"25,23,22,23",Male,NH,Fixed Object Collision
1285,November,5-Nov-22,Saturday,7-Nov-22,Irumbuliyar,Chennai,Tamil Nadu,"12.919932693787887, 80.111051133181",Two Wheeler,Divider,1,1,19,Male,SH,Fixed Object Collision
1286,November,7-Nov-22,Monday,8-Nov-22,Pratap Chowk,Ludhiana,Punjab,"30.889630233878883, 75.86310476667818",Two Wheeler,Truck,1,1,70,Female,OR,Hit From Back
1287,November,6-Nov-22,Sunday,8-Nov-22,Kotmi,Nil,Chhattisgarh,"21.836022347490687, 83.14062173571318",Two Wheeler,Truck,3,0,"22,24,26",Male,OR,With Parked Vehicle
1288,November,6-Nov-22,Sunday,8-Nov-22,Ghodari,Nil,Chhattisgarh,"21.169524356559652, 82.03530377208584",Car,Tree,2,0,NA,Male,NH,Fixed Object Collision
1289,November,6-Nov-22,Sunday,8-Nov-22,Pathariya,Nil,Chhattisgarh,"21.837292736953927, 81.90286490362809",Two Wheeler,Car,1,0,41,Male,NH,Head On Collision 
1290,November,7-Nov-22,Monday,9-Nov-22,Thana Tappal,Nil,Uttar Pradesh,"28.043663479402937, 77.5790983609343",Pedestrian,Car,3,2,"20,20,29",Male,NH,Hit and Run
1291,November,8-Nov-22,Tuesday,9-Nov-22,Ramnagriya,Jaipur,Rajasthan,"26.82033722245593, 75.87456638419907",Pedestrian,Truck,1,0,25,Male,OR,Hit and Run
1292,November,9-Nov-22,Wednesday,10-Nov-22,Pattanam,Coimbatore,Tamil Nadu,"10.983245972650325, 77.04921377211528",Truck,Truck,1,2,35,Male,NH,Head On Collision 
1293,November,9-Nov-22,Wednesday,10-Nov-22,Perumbakkam,Nil,Tamil Nadu,"12.89236556129924, 80.18872763057632",Two Wheeler,Bus,1,1,45,Female,OR,Hit From Back
1294,November,9-Nov-22,Wednesday,10-Nov-22,Suke Kulan,Nil,Goa,"15.682378247111638, 73.83395900284525",Car,Crane,1,2,25,Male,NH,Hit From Side
1295,November,9-Nov-22,Wednesday,11-Nov-22,Trimbakeshwar Rd,Nil,Maharashtra,"19.946401518149656, 73.59990527078837",Two Wheeler,Bus,1,1,NA,Male,OR,Head On Collision 
1296,November,11-Nov-22,Friday,11-Nov-22,Thavanam Palli,Nil,Andhra Pradesh,"13.263755129233203, 79.01177860886744",Car,Truck,3,0,"28,33,2",Both,SH,With Parked Vehicle
1297,November,12-Nov-22,Saturday,12-Nov-22,Amroha,Nil,Uttar Pradesh,"28.906938850995687, 78.47690637211832",Car,SUV,3,0,"22,60,58",Both,SH,Head On Collision 
1298,November,11-Nov-22,Friday,12-Nov-22,Pipalkhunta,Nil,Madhya Pradesh,"23.145432253457194, 75.07122922984281",Pedestrian,Truck,3,1,25,Both,OR,Hit and Run
1299,November,11-Nov-22,Friday,13-Nov-22,Fitari,Nil,Uttarakhand,"31.14253660747368, 78.265141668431",Car,Gorge,1,3,41,Male,OR,Vehicle Overturn
1300,November,12-Nov-22,Saturday,13-Nov-22,Samrala Rd,Ludhiana,Punjab,"30.913165008762128, 75.87110012928143",Car,Car,3,4,"44,40,38",Both,OR,Head On Collision 
1301,November,12-Nov-22,Saturday,13-Nov-22,Electronic City Expressway,Bengaluru,Karnataka,"12.877966005732084, 77.64683164558797",Two Wheeler,Lorry,1,0,56,Male,NH,Hit From Side
1302,November,11-Nov-22,Friday,13-Nov-22,Paliya,Nil,Uttar Pradesh,"27.53762373689336, 79.4525978524351",Car,Tree,3,2,"26,22,27",Both,OR,Fixed Object Collision
1303,November,11-Nov-22,Friday,13-Nov-22,Banaswadi,Bengaluru,Karnataka,"13.015265802638504, 77.66202345804389",Pedestrian,Truck,1,0,23,Male,NH,Hit and Run
1304,November,12-Nov-22,Saturday,14-Nov-22,Khodaypur,Nil,Uttar Pradesh,"26.044171036000026, 81.10449657552155",Pedestrian,Truck,2,0,"50,26",Male,SH,Hit and Run
1305,November,14-Nov-22,Monday,14-Nov-22,Peddinaidupeta,Nil,Andhra Pradesh,"18.717029100393717, 84.35496793411751",Car,Wall,2,2,"45,10",Male,NH,Fixed Object Collision
1306,November,13-Nov-22,Sunday,14-Nov-22,Anekere,Nil,Karnataka,"12.912005303666117, 76.34183653698936",Two Wheeler,Truck,1,0,35,Male,OR,Head On Collision 
1307,November,14-Nov-22,Monday,14-Nov-22,Taki Rd,Nil,West Bengal,"22.69263043044694, 88.70236982066494",Van,Truck,3,5,NA,Male,SH,Head On Collision 
1308,November,14-Nov-22,Monday,15-Nov-22,Aali,Nil,Madhya Pradesh,"22.47913420881438, 75.4157619980225",Two Wheeler,Wall,4,0,"10,21",Male,SH,Fixed Object Collision
1309,November,14-Nov-22,Monday,15-Nov-22,Khamla,Nil,Madhya Pradesh,"22.605255932255112, 75.40407663722769",Two Wheeler,Car,2,0,NA,Male,OR,Others
1310,November,14-Nov-22,Monday,15-Nov-22,Khidkiwala ,Nil,Madhya Pradesh,"22.34199723547302, 77.11095945036001",Two Wheeler,Car,1,1,20,Male,SH,Head On Collision 
1311,November,16-Nov-22,Wednesday,16-Nov-22,Jaiahari,Nil,Madhya Pradesh,"23.151400705564466, 81.32105149863257",Pedestrian,Car,2,0,"33,31",Male,NH,Hit and Run
1312,November,16-Nov-22,Wednesday,16-Nov-22,Mallepalli,Nil,Andhra Pradesh,"17.157969968494445, 81.9959778880999",Van,Tractor,4,8,"47,20,30,30",Both,NH,Head On Collision 
1313,November,15-Nov-22,Tuesday,16-Nov-22,Machhiwara Kohara Rd,Nil,Punjab,"30.90961677407428, 76.17570552285814",Two Wheeler,Truck,2,2,20,Male,OR,Others
1314,November,15-Nov-22,Tuesday,16-Nov-22,Chingrighata Crossing,Kolkata,West Bengal,"22.55788854866375, 88.41156662701462",Pedestrian,Bus,1,0,72,Female,SH,Hit and Run
1315,November,10-Nov-22,Thursday,16-Nov-22,Vasantdadanagar,Nashik,Maharashtra,"20.040398986371844, 73.85315924485533",Pedestrian,Two Wheeler,1,0,70,Female,OR,Hit and Run
1316,November,10-Nov-22,Thursday,16-Nov-22,Malhar Khan Slums,Nashik,Maharashtra,"20.006128902898393, 73.78215597799931",Two Wheeler,Two Wheeler,1,0,30,Male,OR,Head On Collision 
1317,November,14-Nov-22,Monday,16-Nov-22,Bhandari Hospital,Indore,Madhya Pradesh,"22.75265913716417, 75.88905087507547",Two Wheeler,Divider,1,2,NA,Male,SH,Fixed Object Collision
1318,November,14-Nov-22,Monday,16-Nov-22,Manasa,Nil,Madhya Pradesh,"22.777170793297625, 75.31797536258264",Two Wheeler,Unidentified,1,1,40,Female,NH,Hit and Run
1319,November,14-Nov-22,Monday,16-Nov-22,Khandwa,Nil,Madhya Pradesh,"21.828574719383823, 76.35241466082152",Pedestrian,Unidentified,1,0,35,Male,SH,Hit and Run
1320,November,15-Nov-22,Tuesday,16-Nov-22,Ghata,Nil,Haryana,"28.417918594240813, 77.1000577928368",Bicycle,Car,1,1,37,Female,OR,Hit From Back
1321,November,16-Nov-22,Wednesday,17-Nov-22,Srivilliputhur,Nil,Tamil Nadu,"9.512194771478097, 77.63405328187649",Two Wheeler,Car,1,1,19,Male,NH,Hit From Side
1322,November,16-Nov-22,Wednesday,17-Nov-22,Kanaka Durga Flyover,Vijayawada,Andhra Pradesh,"16.520724546873723, 80.5991523206196",Lorry,Truck,2,11,"44,50",Male,NH,Head On Collision 
1323,November,17-Nov-22,Thursday,17-Nov-22,Banekuchi,Nil,Assam,"26.46531928732988, 91.38738432227765",Car,Railing,4,4,NA,NA,NH,Fixed Object Collision
1324,November,17-Nov-22,Thursday,17-Nov-22,Ghagrapar circle,Nil,Assam,"26.452658392784468, 91.52925612294673",Car,Railing,3,0,NA,NA,NH,Fixed Object Collision
1325,November,16-Nov-22,Wednesday,17-Nov-22,Nowda,Nil,West Bengal,"23.906520346704294, 88.45715036328681",Pedestrian,Car,1,0,6,Male,OR,Hit and Run
1326,November,17-Nov-22,Thursday,17-Nov-22,Chaksu,Nil,Rajasthan,"26.605941712405784, 75.9464134490382",Two Wheeler,Truck,2,0,"60,55",Male,SH,Head On Collision 
1327,November,17-Nov-22,Thursday,17-Nov-22,Sirohi,Nil,Rajasthan,"24.875343542281684, 72.86401469452525",Two Wheeler,Bus,3,0,NA,Male,SH,Head On Collision 
1328,November,16-Nov-22,Wednesday,17-Nov-22,Dhakoli,Nil,Punjab,"30.65840334955016, 76.82078084047541",Two Wheeler,Truck,1,0,65,Female,NH,Hit From Side
1329,November,16-Nov-22,Wednesday,17-Nov-22,Sohana Hospital,Nil,Punjab,"30.694405242332124, 76.69910588052726",Two Wheeler,Car,1,0,33,Male,SH,Others
1330,November,16-Nov-22,Wednesday,17-Nov-22,Kunuk Bridge,Nil,Madhya Pradesh,"23.4623810555033, 81.62031380403636",Bus,Truck,3,20,"62,25,50",Male,OR,Head On Collision 
1331,November,16-Nov-22,Wednesday,17-Nov-22,Mallepalli,Nil,Andhra Pradesh,"17.158188199934717, 81.99464155439738",Van,Truck,4,0,"47,30,30,20",Male,NH,Head On Collision 
1332,November,16-Nov-22,Wednesday,17-Nov-22,Adi Badri,Nil,Haryana,"30.455038758921834, 77.34040527956546",Car,Gorge,2,1,"45,45",Male,OR,Vehicle Overturn
1333,November,16-Nov-22,Wednesday,18-Nov-22,Ponnekallu,Nil,Andhra Pradesh,"16.406236755712985, 80.40574691097999",Two Wheeler,Unidentified,2,0,"22,22",Male,OR,Hit and Run
1334,November,16-Nov-22,Wednesday,18-Nov-22,Inthkhedi,Nil,Madhya Pradesh,"23.030184850207604, 77.62914651163783",Two Wheeler,Unidentified,1,0,57,Male,OR,Hit and Run
1335,November,17-Nov-22,Thursday,18-Nov-22,Tiruvallur,Chennai,Tamil Nadu,"13.121091041606617, 79.91075089321942",Two Wheeler,Divider,1,0,24,Male,OR,Fixed Object Collision
1336,November,16-Nov-22,Wednesday,18-Nov-22,Gajner,Nil,Madhya Pradesh,"26.284292037794447, 80.06602269926175",Van,Train,2,0,NA,Male,OR,Hit From Side
1337,November,18-Nov-22,Friday,19-Nov-22,Ranchi Ring Rd,Nil,Jharkhand,"23.447032519188465, 85.34401968554762",Truck,Divider,2,0,"22,26",Male,OR,Fixed Object Collision
1338,November,18-Nov-22,Friday,19-Nov-22,Dr NTR Beach Rd,Vizag,Andhra Pradesh,"17.790396174537317, 83.38524165467386",Two Wheeler,Divider,1,1,19,Male,SH,Fixed Object Collision
1339,November,18-Nov-22,Friday,19-Nov-22,Kashipatnam,Nil,Andhra Pradesh,"18.173908161533664, 83.07705615563678",Two Wheeler,Wall,1,1,NA,Male,OR,Fixed Object Collision
1340,November,18-Nov-22,Friday,19-Nov-22,Palla Jakhol Rd,Nil,Uttarakhand,"30.529681817576638, 79.47554180433299",Pick Up,Gorge,12,5,"52,61,41,42,27,37,46,43,50",Both,OR,Vehicle Overturn
1341,November,17-Nov-22,Thursday,19-Nov-22,Senjeriputhur,Nil,Tamil Nadu,"10.817256737653189, 77.273122035737",SUV,Pole,1,1,83,Male,SH,Fixed Object Collision
1342,November,16-Nov-22,Wednesday,19-Nov-22,Bilaspur Chowk,Nil,Haryana,"28.28863953834606, 76.86016916880224",Two Wheeler,Two Wheeler,2,0,"26,25",Male,NH,Head On Collision 
1343,November,18-Nov-22,Friday,19-Nov-22,Kamarjar Salai,Chennai,Tamil Nadu,"13.033464733203742, 80.27745588130928",Two Wheeler,Bus,1,1,22,Female,OR,Hit From Back
1344,November,18-Nov-22,Friday,20-Nov-22,509 Chowk,Pune,Maharashtra,"18.575427291444658, 73.89939989300919",Two Wheeler,Unidentified,1,0,NA,Male,OR,Hit and Run
1345,November,19-Nov-22,Saturday,20-Nov-22,Brahmkhal,Nil,Uttarakhand,"30.71096037303688, 78.3478945417708",Car,Gorge,5,1,"67,65,52,67,72",Both,NH,Vehicle Overturn
1346,November,20-Nov-22,Sunday,21-Nov-22,Nayaganj,Nil,Bihar,"25.620056059862137, 85.45619403250178",Pedestrian,Truck,8,7,NA,Both,NH,Hit and Run
1347,November,20-Nov-22,Sunday,21-Nov-22,Hathua,Nil,Bihar,"26.364744286924676, 84.36332624847657",SUV,Wall,2,0,42,Male,OR,Fixed Object Collision
1348,November,20-Nov-22,Sunday,21-Nov-22,Sangat,Nil,Punjab,"30.08992688123, 74.83402077682243",Two Wheeler,Bus,2,0,NA,Both,OR,Head On Collision 
1349,November,20-Nov-22,Sunday,22-Nov-22,Kurar Metro Station,Mumbai,Maharashtra,"19.187585794269648, 72.8582979895844",Pedestrian,Truck,1,0,40,Male,OR,Hit and Run
1350,November,22-Nov-22,Tuesday,22-Nov-22,Boddugudem,Nil,Telangana,"17.41604008317256, 79.35145036527567",Lorry,SUV,8,2,"68,52,35,61,46,31",Both,OR,Head On Collision 
1351,November,22-Nov-22,Tuesday,22-Nov-22,Atariya,Nil,Uttar Pradesh,"27.54684620747111, 79.74536007975173",SUV,Ditch,5,6,"30,32,54,25",Male,OR,Vehicle Overturn
1352,November,21-Nov-22,Monday,22-Nov-22,Chuharpur Rd,Ludhiana,Punjab,"30.93155089781897, 75.8020489219434",Car,Tree,1,2,25,Male,OR,Fixed Object Collision
1353,November,20-Nov-22,Sunday,22-Nov-22,Dari Pul,Pune,Maharashtra,"18.432456042355387, 73.8381317293159",Two Wheeler,Truck,1,0,41,Male,NH,Others
1354,November,20-Nov-22,Sunday,22-Nov-22,Mummallapalle,Nil,Telangana,"16.31830655019522, 77.95075530161922",Bus,Tractor,3,16,"42,19,47",Male,NH,Hit From Back
1355,November,21-Nov-22,Monday,23-Nov-22,Hatiakhowa,Nil,Assam,"26.61980908993047, 94.02343225966489",Car,Truck,5,0,"26,26,25,25,26",Male,OR,Head On Collision 
1356,November,22-Nov-22,Tuesday,23-Nov-22,SH 25,Nil,Uttar Pradesh,"27.44540537277724, 80.11582304632411",SUV,Nil,5,0,"31,36,54,40,64",Male,NH,Run Off Road
1357,November,22-Nov-22,Tuesday,23-Nov-22,Chikkonahalli,Nil,Karnataka,"13.117553016646875, 76.70355899910632",Two Wheeler,Bus,1,2,15,Female,OR,Hit From Back
1358,November,21-Nov-22,Monday,23-Nov-22,Bihaguri,Nil,Assam,"26.70337115043496, 92.70418700131626",Two Wheeler,Truck,2,0,NA,Male,OR,Head On Collision 
1359,November,23-Nov-22,Wednesday,23-Nov-22,Shirasi,Nil,Maharashtra,"17.581023297779254, 76.25967599791673",Car,Truck,3,3,NA,NA,NH,With Parked Vehicle
1360,November,22-Nov-22,Tuesday,23-Nov-22,Marie Poussepin's Academy,Nagpur,Maharashtra,"21.21352805697569, 79.13283161552614",Pedestrian,Bus,1,0,14,Male,OR,Hit and Run
1361,November,22-Nov-22,Tuesday,24-Nov-22,Pushpak Nagar,Mumbai,Maharashtra,"18.969945860027266, 73.08309419853339",SUV,Truck,2,0,"39,39",Male,OR,With Parked Vehicle
1362,November,23-Nov-22,Wednesday,24-Nov-22,Koyembedu,Chennai,Tamil Nadu,"13.075485551645427, 80.19903427346826",Two Wheeler,Truck,1,0,42,Male,OR,Hit From Back
1363,November,22-Nov-22,Tuesday,24-Nov-22,Nayangarh,Nil,Madhya Pradesh,"24.271466866811885, 75.05168429622357",Two Wheeler,Tree,1,0,61,Male,OR,Fixed Object Collision
1364,November,22-Nov-22,Tuesday,24-Nov-22,Ghinghartola,Nil,Uttarakhand,"29.829189079464633, 79.85159256036074",Car,Ditch,1,1,60,Female,OR,Vehicle Overturn
1365,November,23-Nov-22,Wednesday,25-Nov-22,Chota Kashmir,Mumbai,Maharashtra,"19.161963423521573, 72.87188481158118",Two Wheeler,Bus,1,1,47,Female,OR,Hit From Back
1366,November,21-Nov-22,Monday,25-Nov-22,Ahmednagar Rd,Nil,Maharashtra,"18.990369786094597, 75.75142734060948",Two Wheeler,Truck,1,0,42,Male,NH,Head On Collision 
1367,November,21-Nov-22,Monday,25-Nov-22,Shivshakti Road Lines,Pune,Maharashtra,"18.453444782040105, 73.84078903488914",Pedestrian,Unidentified,1,0,40,Male,NH,Hit and Run
1368,November,23-Nov-22,Wednesday,25-Nov-22,Udgir,Nil,Maharashtra,"18.38862883333705, 77.12119369995887",Tractor,Truck,1,5,38,Male,OR,Others
1369,November,23-Nov-22,Wednesday,25-Nov-22,Boliyar,Nil,Karnataka,"12.833735043168385, 74.97083624240882",Pedestrian,Bus,1,8,62,Male,OR,Hit and Run
1370,November,23-Nov-22,Wednesday,25-Nov-22,Amulya Amrutalaya,Nil,Maharashtra,"19.431339821794673, 80.06233300389967",Pedestrian,Truck,1,0,39,Male,OR,Hit and Run
1371,November,23-Nov-22,Wednesday,25-Nov-22,Old Airport Rd,Bengaluru,Karnataka,"12.954700978073774, 77.6843094701265",Two Wheeler,Bus,1,0,NA,Male,OR,Hit From Back
1372,November,24-Nov-22,Thursday,26-Nov-22,Swati Park,Rajkot,Gujarat,"22.251352838330064, 70.80791260812796",Pedestrian,Two Wheeler,1,2,7,Male,NH,Hit and Run
1373,November,24-Nov-22,Thursday,26-Nov-22,Rabupura,Nil,Uttar Pradesh,"28.253160766999283, 77.6023364007142",Two Wheeler,Tractor,1,0,42,Male,OR,Hit From Back
1374,November,26-Nov-22,Saturday,27-Nov-22,Khajrana,Indore,Madhya Pradesh,"22.731244661918943, 75.90263711866906",Two Wheeler,Truck,1,1,NA,Male,SH,Head On Collision 
1375,November,27-Nov-22,Sunday,27-Nov-22,Aoras,Nil,Uttar Pradesh,"26.907522896186578, 80.50137862083321",Two Wheeler,Railing,2,0,"20,18",Both,OR,Fixed Object Collision
1376,November,27-Nov-22,Sunday,28-Nov-22,Pothireddipalem,Nil,Andhra Pradesh,"16.242889744416413, 81.22009173032612",Pedestrian,Car,3,0,NA,Both,SH,Hit and Run
1377,November,27-Nov-22,Sunday,28-Nov-22,Mau Aima,Nil,Uttar Pradesh,"25.701157202774304, 81.9090760185718",Two Wheeler,Pick Up,2,0,"21,16",Male,NH,Others
1378,November,28-Nov-22,Monday,28-Nov-22,Samroli,Nil,Jammu,"32.9911780391831, 75.19505566014274",Car,Gorge,4,0,NA,Male,NH,Vehicle Overturn
1379,November,27-Nov-22,Sunday,28-Nov-22,Kumtha,Nil,Madhya Pradesh,"21.62669454526135, 76.48345071187337",Car,Tree,3,0,NA,Male,OR,Fixed Object Collision
1380,November,27-Nov-22,Sunday,28-Nov-22,Mahipalpur Flyover,Delhi,Delhi,"28.545028355232883, 77.12116013069722",Bicycle,Car,1,0,50,Male,NH,Head On Collision 
